N M d gamma tmax seed FW_fin_energy FW_fin_opt_gap int_FW_path_energy shortest_path_energy frac_shortest_paths avg_traf_int_paths avg_len_int_paths time avg_len_shortest_path avg_traf_shortest_paths avg_traf_FW avg_traf_int_FW RGAP avg_degen_od_FW identifier num_start_end_pairs misall_traffic_1e-1 misall_traffic_1e-2 misall_traffic_1e-3 misall_traffic_1e-4 misall_traffic_1e-5 sup_paths_od_degen_rtol_1e-2 sup_paths_od_degen_rtol_1e-3 sup_paths_od_degen_rtol_1e-4 sup_paths_od_degen_rtol_1e-5 sup_paths_od_degen_rtol_1e-6 frac_integer_paths_tol_1e-02 frac_integer_paths_tol_1e-03 frac_integer_paths_tol_1e-04 frac_integer_paths_tol_1e-06 frac_integer_paths_tol_0e+00 frac_FW_flow_SP frac_sup_shortest_paths_tol_1e-2 frac_sup_shortest_paths_tol_1e-3 frac_sup_shortest_paths_tol_1e-4 frac_sup_shortest_paths_tol_1e-5 frac_sup_shortest_paths_tol_1e-6
32 26 3.0 2.0 121455 7 1.77628836658e+02 3.7198e-06 1.87000000000e+02 2.030000e+02 9.6154e-01 8.24777e-01 3.26923e+00 3.3496e+01 3.1923e+00 1.7292e+00 1.8086e+00 1.7708e+00 1.0471e-08 2.0000e+00 exp_highM_vartmax_final 26 0 0 0 0 0 1.9615384615384615 1.9230769230769231 1.9230769230769231 1.9230769230769231 1.9230769230769231 0.4230769230769231 0.4230769230769231 0.4230769230769231 0.4230769230769231 0.15384615384615385 9.05181e-01 0.7884615384615384 0.8076923076923077 0.8076923076923077 0.8076923076923077 0.8076923076923077
32 2 3.0 2.0 343585 3 4.36687087347e+00 2.2652e-07 8.00000000000e+00 8.000000e+00 1.0000e+00 4.46708e-01 4.00000e+00 3.7028e+01 4.0000e+00 1.6667e-01 2.2728e-01 1.6667e-01 2.5936e-08 2.0000e+00 exp_highM_vartmax_final 2 0 0 0 0 0 14.5 11.5 11.5 11.5 11.5 0.0 0.0 0.0 0.0 0.0 5.87608e-01 0.16558441558441558 0.17410714285714285 0.17410714285714285 0.17410714285714285 0.17410714285714285
32 6 3.0 2.0 245371 14 2.21223661627e+01 7.3523e-07 3.30000000000e+01 3.600000e+01 8.3333e-01 5.12783e-01 4.50000e+00 3.7371e+01 4.3333e+00 5.4167e-01 6.1141e-01 5.6250e-01 1.6617e-08 2.0000e+00 exp_highM_vartmax_final 6 0 0 0 0 0 4.833333333333333 4.333333333333333 4.333333333333333 4.333333333333333 4.333333333333333 0.0 0.0 0.0 0.0 0.0 6.89938e-01 0.42698412698412697 0.48055555555555557 0.48055555555555557 0.48055555555555557 0.48055555555555557
32 6 3.0 2.0 245371 16 1.50356544050e+01 6.4747e-07 2.20000000000e+01 2.300000e+01 8.3333e-01 6.65031e-01 2.66667e+00 2.8572e+01 2.5000e+00 3.1250e-01 4.4668e-01 3.3333e-01 2.1531e-08 2.0000e+00 exp_highM_vartmax_final 6 0 0 0 0 0 3.8333333333333335 3.6666666666666665 3.6666666666666665 3.6666666666666665 3.6666666666666665 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.0 6.57494e-01 0.42685185185185187 0.4407407407407408 0.4407407407407408 0.4407407407407408 0.4407407407407408
32 11 3.0 2.0 189753 18 3.89092139356e+01 1.0810e-06 4.50000000000e+01 4.800000e+01 9.0909e-01 7.97520e-01 3.18182e+00 3.0205e+01 3.0909e+00 7.0833e-01 7.8916e-01 7.2917e-01 1.3891e-08 2.0000e+00 exp_highM_vartmax_final 11 0 0 0 0 0 3.0 3.0 3.0 3.0 3.0 0.18181818181818182 0.18181818181818182 0.18181818181818182 0.18181818181818182 0.0 7.99696e-01 0.5303030303030302 0.5303030303030302 0.5303030303030302 0.5303030303030302 0.5303030303030302
32 11 3.0 2.0 189753 0 3.79254598946e+01 1.2101e-06 4.40000000000e+01 5.000000e+01 8.1818e-01 7.61685e-01 3.27273e+00 3.6782e+01 3.0909e+00 7.0833e-01 7.7897e-01 7.5000e-01 1.5954e-08 2.0000e+00 exp_highM_vartmax_final 11 0 0 0 3.383667265179171e-07 3.383667265179171e-07 2.5454545454545454 2.4545454545454546 2.272727272727273 2.272727272727273 2.1818181818181817 0.45454545454545453 0.45454545454545453 0.45454545454545453 0.45454545454545453 0.0 7.29065e-01 0.5742424242424243 0.5787878787878787 0.6318181818181818 0.6318181818181818 0.646969696969697
32 26 3.0 2.0 121455 9 2.18539514982e+02 7.7472e-06 2.42000000000e+02 2.850000e+02 9.6154e-01 7.74890e-01 3.53846e+00 3.7469e+01 3.5000e+00 1.8958e+00 1.9768e+00 1.9167e+00 1.7725e-08 2.0000e+00 exp_highM_vartmax_final 25 0 0 0 0 0 2.36 2.36 2.36 2.36 2.36 0.4230769230769231 0.4230769230769231 0.4230769230769231 0.4230769230769231 0.11538461538461539 8.74883e-01 0.7766666666666666 0.7766666666666666 0.7766666666666666 0.7766666666666666 0.7766666666666666
32 26 3.0 2.0 121455 16 2.08052956732e+02 4.4632e-06 2.20000000000e+02 2.580000e+02 8.4615e-01 8.52441e-01 3.38462e+00 3.7915e+01 3.1538e+00 1.7083e+00 1.8513e+00 1.8333e+00 1.0726e-08 2.0000e+00 exp_highM_vartmax_final 25 0 0 0 0 0 1.6 1.6 1.6 1.6 1.6 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.6153846153846154 0.07692307692307693 8.21683e-01 0.7866666666666667 0.7866666666666667 0.7866666666666667 0.7866666666666667 0.7866666666666667
32 2 3.0 2.0 343585 5 3.41338495020e+00 3.4085e-07 8.00000000000e+00 8.000000e+00 1.0000e+00 3.73452e-01 3.00000e+00 3.4520e+01 3.0000e+00 1.2500e-01 2.1552e-01 1.2500e-01 4.9928e-08 2.0000e+00 exp_highM_vartmax_final 2 0 0 0 0 0 14.0 13.5 13.5 13.5 13.5 0.0 0.0 0.0 0.0 0.0 3.73452e-01 0.08187134502923976 0.08333333333333333 0.08333333333333333 0.08333333333333333 0.08333333333333333
32 4 3.0 2.0 283185 18 6.73571625349e+00 6.4282e-07 1.10000000000e+01 1.100000e+01 1.0000e+00 5.71038e-01 2.75000e+00 3.3702e+01 2.7500e+00 2.2917e-01 3.1460e-01 2.2917e-01 4.7717e-08 2.0000e+00 exp_highM_vartmax_final 4 0 0 0 0 0 7.75 7.75 7.75 7.75 7.75 0.0 0.0 0.0 0.0 0.0 5.99513e-01 0.2357142857142857 0.2357142857142857 0.2357142857142857 0.2357142857142857 0.2357142857142857
