N M d gamma tmax seed FW_fin_energy FW_fin_opt_gap int_FW_path_energy shortest_path_energy frac_shortest_paths avg_traf_int_paths avg_len_int_paths time avg_len_shortest_path avg_traf_shortest_paths avg_traf_FW avg_traf_int_FW RGAP avg_degen_od_FW identifier num_start_end_pairs misall_traffic_1e-1 misall_traffic_1e-2 misall_traffic_1e-3 misall_traffic_1e-4 misall_traffic_1e-5 sup_paths_od_degen_rtol_1e-2 sup_paths_od_degen_rtol_1e-3 sup_paths_od_degen_rtol_1e-4 sup_paths_od_degen_rtol_1e-5 sup_paths_od_degen_rtol_1e-6 frac_integer_paths_tol_1e-02 frac_integer_paths_tol_1e-03 frac_integer_paths_tol_1e-04 frac_integer_paths_tol_1e-06 frac_integer_paths_tol_0e+00 frac_FW_flow_SP frac_sup_shortest_paths_tol_1e-2 frac_sup_shortest_paths_tol_1e-3 frac_sup_shortest_paths_tol_1e-4 frac_sup_shortest_paths_tol_1e-5 frac_sup_shortest_paths_tol_1e-6 final_t init_energy
32 6 3.0 4.0 245371 18 1.74971800967e+01 5.9703e-09 1.75100000000e+01 1.751000e+01 1.0000e+00 9.85596e-01 2.83333e+00 2.9048e+01 2.8333e+00 3.5417e-01 3.5417e-01 3.5417e-01 3.0639e-10 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 6 0 0 0 0 0 1.1666666666666667 1.1666666666666667 1.1666666666666667 1.1666666666666667 1.1666666666666667 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.5 1.00000e+00 1.0 1.0 1.0 1.0 1.0 245370 1.93100000000e+01
32 2 3.0 4.0 343585 5 7.03591528120e+00 1.0879e-08 7.08000000000e+00 7.080000e+00 1.0000e+00 9.34374e-01 3.00000e+00 3.0024e+01 3.0000e+00 1.2500e-01 1.3047e-01 1.2500e-01 1.0740e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 2 0 0 0 0 0 3.0 3.0 3.0 3.0 3.0 0.5 0.5 0.5 0.5 0.5 9.34374e-01 0.6 0.6 0.6 0.6 0.6 343584 7.08000000000e+00
32 2 3.0 4.0 343585 3 8.15562500000e+00 2.9589e-09 8.24000000000e+00 8.240000e+00 1.0000e+00 7.50000e-01 4.00000e+00 3.1345e+01 4.0000e+00 1.6667e-01 1.6667e-01 1.6667e-01 3.3707e-10 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 2 0 0 0 0 0 1.5 1.5 1.5 1.5 1.5 0.5 0.5 0.5 0.5 0.5 1.00000e+00 1.0 1.0 1.0 1.0 1.0 343584 8.24000000000e+00
32 11 3.0 4.0 189753 15 3.41855223028e+01 1.9886e-07 3.54000000000e+01 3.630000e+01 1.0000e+00 8.91843e-01 2.72727e+00 3.0221e+01 2.7273e+00 6.2500e-01 6.4742e-01 6.2500e-01 4.2653e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 11 0 0 0 0 0 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454 1.5454545454545454 0.6363636363636364 0.6363636363636364 0.6363636363636364 0.6363636363636364 0.09090909090909091 9.03681e-01 0.8181818181818182 0.8181818181818182 0.8181818181818182 0.8181818181818182 0.8181818181818182 189752 3.54000000000e+01
32 8 3.0 4.0 218567 4 2.81244580899e+01 4.9069e-08 2.94800000000e+01 3.578000e+01 1.0000e+00 8.42505e-01 3.25000e+00 3.1098e+01 3.2500e+00 5.4167e-01 5.5218e-01 5.4167e-01 1.4180e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 8 0 0 0 0 0 1.75 1.75 1.75 1.75 1.75 0.5 0.5 0.5 0.5 0.375 9.36943e-01 0.90625 0.90625 0.90625 0.90625 0.90625 218566 3.03800000000e+01
32 11 3.0 4.0 189753 18 3.86100969093e+01 2.0527e-07 4.05500000000e+01 4.132000e+01 9.0909e-01 8.94244e-01 3.18182e+00 3.1425e+01 3.0909e+00 7.0833e-01 7.3590e-01 7.2917e-01 3.9660e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 11 0 0 0 0 0 1.6363636363636365 1.6363636363636365 1.6363636363636365 1.6363636363636365 1.6363636363636365 0.5454545454545454 0.5454545454545454 0.5454545454545454 0.5454545454545454 0.09090909090909091 9.15643e-01 0.8181818181818182 0.8181818181818182 0.8181818181818182 0.8181818181818182 0.8181818181818182 189752 4.31200000000e+01
32 8 3.0 4.0 218567 6 2.74388062942e+01 8.5287e-08 2.84500000000e+01 2.935000e+01 1.0000e+00 8.52897e-01 3.12500e+00 3.1565e+01 3.1250e+00 5.2083e-01 5.3742e-01 5.2083e-01 2.5077e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 8 0 0 0 0 0 1.625 1.5 1.5 1.5 1.5 0.625 0.625 0.625 0.625 0.25 9.00504e-01 0.84375 0.8541666666666666 0.8541666666666666 0.8541666666666666 0.8541666666666666 218566 2.93500000000e+01
32 14 3.0 4.0 168967 10 6.65523371448e+01 3.9801e-06 7.65700000000e+01 1.087100e+02 9.2857e-01 7.56400e-01 3.50000e+00 3.3367e+01 3.3571e+00 9.7917e-01 1.0914e+00 1.0208e+00 3.2302e-08 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 14 0 0 0 0 0 2.4285714285714284 2.2142857142857144 2.2142857142857144 2.2142857142857144 2.2142857142857144 0.35714285714285715 0.35714285714285715 0.35714285714285715 0.35714285714285715 0.0 7.82543e-01 0.6833333333333333 0.6964285714285714 0.6964285714285714 0.6964285714285714 0.6964285714285714 168966 1.42010000000e+02
32 7 3.0 4.0 230955 9 2.82051044538e+01 9.2594e-08 2.94800000000e+01 3.668000e+01 1.0000e+00 8.02541e-01 3.71429e+00 3.2410e+01 3.7143e+00 5.4167e-01 5.4762e-01 5.4167e-01 2.5804e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 7 0 0 0 0 0 1.8571428571428572 1.7142857142857142 1.7142857142857142 1.7142857142857142 1.7142857142857142 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.0 9.59209e-01 0.8571428571428571 0.9047619047619048 0.9047619047619048 0.9047619047619048 0.9047619047619048 230954 3.75800000000e+01
32 6 3.0 4.0 245371 17 2.61544963124e+01 8.2918e-08 2.74200000000e+01 2.742000e+01 1.0000e+00 7.09809e-01 4.00000e+00 3.2983e+01 4.0000e+00 5.0000e-01 5.1675e-01 5.0000e-01 2.6276e-09 2.0000e+00 exp_drected_RRG_BPR_cap1_gamma4 6 0 0 0 0 0 2.8333333333333335 2.8333333333333335 2.6666666666666665 2.6666666666666665 2.6666666666666665 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.0 8.65977e-01 0.6444444444444445 0.6444444444444445 0.6722222222222222 0.6722222222222222 0.6722222222222222 245370 2.74200000000e+01
